,id,company,url,industry,yrs_on_list
112,25241,Fortress Gold Group,fortress-gold-group,Financial Services,1
113,23197,AdColony,adcolony,Advertising & Marketing,2
114,26395,Integral Ad Science,integral-ad-science,Advertising & Marketing,1
115,23076,Technomax,technomax,IT Services,2
116,25855,hCentive,hcentive,Health,1
117,22903,Intelligent Audit,intelligent-audit,Logistics & Transportation,2
118,26332,SimpliSafe Home Security,simplisafe-home-security,Security,1
119,25436,Boxman Studios,boxman-studios,Business Products & Services,1
120,26277,SeatGeek,seatgeek,Consumer Products & Services,1
121,24847,Smashwords,smashwords,Media,1
122,21756,Securityhunter,securityhunter,Government Services,3
123,21024,VRx,vrx,Health,3
124,25425,SmackTom.com,smacktomcom,Retail,1
125,25034,Virtual Fleet Supervisor,virtual-fleet-supervisor,Software,1
126,25283,CareCloud,carecloud,Health,1
127,24789,Fueled,fueled,Advertising & Marketing,1
128,26484,Bob's Watches,bobs-watches,Retail,1
129,24852,CPA Trend,cpa-trend,Advertising & Marketing,1
130,25054,Jobs2Careers,jobs2careers,Human Resources,1
131,20998,29 Prime,29-prime,Advertising & Marketing,3
132,21178,Prolim,prolim,IT Services,2
133,24677,Loyal Source Government Services,loyal-source-government-services,Government Services,1
134,23162,Marketsmith,marketsmith,Advertising & Marketing,2
135,25279,Project Management Academy,project-management-academy,Education,1
136,24932,Flying Cork Media,flying-cork-media,Advertising & Marketing,1
137,24888,Motivity Labs,motivity-labs,IT Services,1
138,26263,Twilio,twilio,Telecommunications,1
139,25095,Signature Closers,signature-closers,Real Estate,1
140,25749,PureCars,purecars,Advertising & Marketing,1
141,25236,The Cambridge Institute of International Education,the-cambridge-institute-of-international-education,Education,1
142,25237,Market6,market6,Software,1
143,25594,LiveRamp,liveramp,Advertising & Marketing,1
144,25620,MyClean,myclean,Consumer Products & Services,1
145,26220,PresenceLearning,presencelearning,Education,1
146,26517,Residential Capital Management,residential-capital-management,Real Estate,1
147,25293,Total Technology Solutions Group,total-technology-solutions-group,Business Products & Services,1
148,25025,Buy PD,buy-pd,Real Estate,1
149,22898,Goal Zero,goal-zero,Consumer Products & Services,2
150,22864,Advocate Merchant Solutions,advocate-merchant-solutions,Financial Services,2
151,20327,Sky Zone Indoor Trampoline Park,sky-zone-indoor-trampoline-park,Consumer Products & Services,4
152,26205,Avenue Link,avenue-link,Advertising & Marketing,1
153,25975,Incredible Supply & Logistics,incredible-supply-logistics,Government Services,1
154,26126,ReSell,resell,Business Products & Services,1
155,25004,Legion Logistics,legion-logistics,Logistics & Transportation,1
156,25205,GrayPay,graypay,Financial Services,1
157,26496,Urban Investment Group,urban-investment-group,Real Estate,1
158,25206,SPHERE Technology Solutions,sphere-technology-solutions,Security,1
159,26135,Bai Brands,bai-brands,Food & Beverage,1
160,26268,RocketDrop,rocketdrop,Business Products & Services,1
161,21880,ECHO Health,echo-health,Health,3
162,25153,Marathon TS,marathon-ts,Government Services,1
163,23033,AudioMicro,audiomicro,Media,2
164,25024,LED Supply,led-supply,Business Products & Services,1
165,26487,LeGault Homes,legault-homes,Real Estate,1
166,25384,Forte International Tax,forte-international-tax,Financial Services,1
167,25488,Paradigm Mechanical,paradigm-mechanical,Construction,1
168,22992,Finance Store,finance-store,Financial Services,2
169,25512,Pure Incubation,pure-incubation,Advertising & Marketing,1
170,25313,Kohana Coffee,kohana-coffee,Food & Beverage,1
171,26221,Ensighten,ensighten,Advertising & Marketing,1
172,26167,Pathway Genomics,pathway-genomics,Health,1
173,24957,CenseoHealth,censeohealth,Health,1
174,26180,3A/WorldWide,3aworldwide,Advertising & Marketing,1
175,25374,180Fusion,180fusion,Advertising & Marketing,1
176,25065,Kamis,kamis,IT Services,1
177,26239,Apex Controls,apex-controls,Energy,1
178,25141,InkSoft,inksoft,Software,1
179,25603,Futurewave Systems,futurewave-systems,IT Services,1
180,25765,6 Pack Fitness,6-pack-fitness,Retail,1
181,26546,Genzum Life Sciences,genzum-life-sciences,Health,1
182,24923,ProctorU,proctoru,Education,1
183,26360,Dakenna Development,dakenna-development,Construction,1
184,25181,Duda,duda,Software,1
185,25403,Holganix,holganix,Environmental Services,1
186,25128,NITS Solutions,nits-solutions,IT Services,1
187,25869,Paramount Lodging Advisors,paramount-lodging-advisors,Real Estate,1
188,25783,EmazingLights,emazinglights,Retail,1
189,26528,Level Interactive,level-interactive,Advertising & Marketing,1
190,26255,shopkick,shopkick,Retail,1
191,25486,TekWissen,tekwissen,IT Services,1
192,25501,VPCinnovations,vpcinnovations,Computer Hardware,1
193,25433,Clean Energy Collective,clean-energy-collective,Energy,1
194,26030,Silver Bullet Construction,silver-bullet-construction,Construction,1
195,26326,Aegis Corps,aegis-corps,Government Services,1
196,22899,uBreakiFix,ubreakifix,Retail,2
197,25037,Culture.Service.Growth.,cultureservicegrowth,Business Products & Services,1
198,21023,CardCash.com,cardcashcom,Consumer Products & Services,3
199,26083,Protein Bar,protein-bar,Food & Beverage,1
200,25722,Metis Solutions,metis-solutions,Government Services,1
201,25130,Title Boxing Club,title-boxing-club,Health,1
202,23061,VETS Etc.,vets-etc,IT Services,2
203,23274,LocalResponse,localresponse,Advertising & Marketing,2
204,25498,Tongal,tongal,Advertising & Marketing,1
205,23044,Novisync Solutions,novisync-solutions,IT Services,2
206,26057,Tax Guard,tax-guard,Financial Services,1
207,25899,Nexgen Property Solutions,nexgen-property-solutions,Financial Services,1
208,25565,PerformTel,performtel,Business Products & Services,1
209,23172,R.J. Allen & Associates,rj-allen-associates,Construction,2
210,24913,Splash and Dash for Dogs International,splash-and-dash-for-dogs-international,Consumer Products & Services,1
211,25949,ePremium Insurance,epremium-insurance,Insurance,1
212,22916,McAfee Institute,mcafee-institute,Education,2
213,25983,IDsecurityonline.com,idsecurityonlinecom,Security,1
214,26595,Wren,wren,Retail,1
215,24898,Newmind Group,newmind-group,IT Services,1
216,26306,Obsidian Analysis,obsidian-analysis,Government Services,1
217,24959,Universal Synaptics,universal-synaptics,Government Services,1
218,26587,Global Commerce and Services,global-commerce-and-services,Government Services,1
219,26448,Stoneside Blinds & Shades,stoneside-blinds-shades,Consumer Products & Services,1
220,23098,Blue Star Tec,blue-star-tec,IT Services,2
221,25143,Loqate,loqate,Software,1
222,25660,PresPro,prespro,Construction,1
223,24646,PcCareSupport,pccaresupport,IT Services,1
224,25571,AltaSource Group,altasource-group,IT Services,1
225,26014,VDX,vdx,IT Services,1
226,25086,Cloudbilt,cloudbilt,Software,1
227,25133,Strategi Consulting,strategi-consulting,IT Services,1
228,24786,PPT Fiberglass,ppt-fiberglass,Manufacturing,1
229,25449,X5 Networks,x5-networks,IT Services,1
230,25944,Pathoras,pathoras,Government Services,1
231,26405,American Wireless,american-wireless,Telecommunications,1
232,25112,SendGrid,sendgrid,Software,1
233,25091,Laudan Properties,laudan-properties,Real Estate,1
234,25862,Streamline Solutions,streamline-solutions,Real Estate,1
235,26201,Eau De Luxe,eau-de-luxe,Retail,1
236,26109,Levitate Media,levitate-media,Media,1
237,25447,Avani Technology Solutions,avani-technology-solutions,IT Services,1
238,25891,Expert Technical Solutions,expert-technical-solutions,IT Services,1
239,25334,Motiv Power Systems,motiv-power-systems,Energy,1
240,25276,Allurez,allurez,Retail,1
241,25999,Logical Paradigm,logical-paradigm,IT Services,1
242,25001,LiveRail,liverail,Advertising & Marketing,1
243,25218,Hydro Flask,hydro-flask,Consumer Products & Services,1
244,23012,Act-On Software,act-on-software,Software,2
245,25652,Spartan Value Investors,spartan-value-investors,Real Estate,1
246,26122,GreenRope,greenrope,Software,1
247,25329,Lending Club,lending-club,Financial Services,1
248,26151,DrChrono,drchrono,Health,1
249,25612,Capstone (Sausalito CA),capstone-sausalito-ca,Business Products & Services,1
250,26108,Alcohol by Volume,alcohol-by-volume,Food & Beverage,1
251,26217,H.Bloom,hbloom,Consumer Products & Services,1
252,26409,Tealium,tealium,Software,1
253,25743,Boostability,boostability,Advertising & Marketing,1
254,25558,Solve Media,solve-media,Advertising & Marketing,1
255,24869,Heartland Energy Partners,heartland-energy-partners,Business Products & Services,1
256,22893,Bridger,bridger,Energy,2
257,26431,Jeunesse Global,jeunesse-global,Consumer Products & Services,1
258,22965,Touchsuite,touchsuite,Software,2
259,23141,Acceleration Partners,acceleration-partners,Advertising & Marketing,2
260,26286,Moore Heating & Air Conditioning,moore-heating-air-conditioning,Construction,1
261,23427,Optimatic Media,optimatic-media,Advertising & Marketing,2
262,25991,EPI Engineering,epi-engineering,Engineering,1
263,25319,Simplicity Laser,simplicity-laser,Consumer Products & Services,1
264,21161,Cinium Financial Services,cinium-financial-services,Financial Services,3
265,23017,TNH Advanced Specialty Pharmacy,tnh-advanced-specialty-pharmacy,Health,2
266,25674,Human Movement Management,human-movement-management,Consumer Products & Services,1
267,25622,Allegheny Science & Technology,allegheny-science-technology,Government Services,1
268,22994,Hudl,hudl,Software,2
269,25092,GuideSpark,guidespark,Software,1
270,25160,Optimus Technology,optimus-technology,IT Services,1
271,26438,Luxe Royale,luxe-royale,Travel & Hospitality,1
272,24928,SoluComp,solucomp,Telecommunications,1
273,24922,RPM Freight Systems,rpm-freight-systems,Logistics & Transportation,1
274,25684,Motivational Press,motivational-press,Media,1
275,25951,Accordant Media,accordant-media,Advertising & Marketing,1
276,23059,iQuanti,iquanti,Advertising & Marketing,2
277,26075,Bareburger,bareburger,Food & Beverage,1
278,22972,BMA,bma,Government Services,2
279,22959,CoverMyMeds,covermymeds,Health,2
280,26283,Entrada,entrada,IT Services,1
281,21743,MES,mes,Logistics & Transportation,3
282,25636,FreeRateUpdate.com,freerateupdatecom,Advertising & Marketing,1
283,25725,Southern Green Builders,southern-green-builders,Construction,1
284,26381,Excellence Engineering,excellence-engineering,Engineering,1
285,25417,Fonteva,fonteva,Software,1
286,22925,Madwire,madwire,Advertising & Marketing,2
287,26191,Whet Travel,whet-travel,Travel & Hospitality,1
288,26234,Zapproved,zapproved,Software,1
289,19653,It Works!,it-works,Consumer Products & Services,4
290,25262,InQuicker,inquicker,Health,1
291,23511,UpSurge Media Group,upsurge-media-group,Advertising & Marketing,2
292,25098,United Credit Consultants,united-credit-consultants,Financial Services,1
293,25163,Trapp,trapp,IT Services,1
294,24001,VSI Nearshore Outsourcing,vsi-nearshore-outsourcing,IT Services,2
295,26314,AcquisitionsAndRenewals.com,acquisitionsandrenewalscom,Telecommunications,1
296,22947,Bio Soil Enhancers,bio-soil-enhancers,Manufacturing,2
297,26256,Cogito,cogito,Software,1
298,26250,MorrisCore,morriscore,Advertising & Marketing,1
299,24920,Noi Solutions,noi-solutions,Business Products & Services,1
300,25993,KeVita Sparkling Probiotic Drinks,kevita-sparkling-probiotic-drinks,Food & Beverage,1
301,25740,HoverCam,hovercam,Manufacturing,1
302,21205,Apex Resources,apex-resources,Manufacturing,3
303,25708,SiteCompli,sitecompli,Software,1
304,21597,Clearleap,clearleap,Software,3
305,22988,StartFinder,startfinder,Human Resources,2
306,21314,LongView International Technology Solutions,longview-international-technology-solutions,Government Services,2
307,25239,Softhq,softhq,IT Services,1
308,25732,EveryMundo,everymundo,Advertising & Marketing,1
309,25750,CoolMiniOrNot,coolminiornot,Consumer Products & Services,1
310,26170,Logical Position,logical-position,Advertising & Marketing,1
311,25162,LDR Interactive,ldr-interactive,Software,1
312,24748,etailz,etailz,Retail,1
313,21000,Datto,datto,Security,3
314,26404,MoTek Technologies,motek-technologies,IT Services,1
315,22995,Rigid Industries,rigid-industries,Manufacturing,2
316,26159,Phidiax,phidiax,IT Services,1
317,26599,Lolly Wolly Doodle,lolly-wolly-doodle,Retail,1
318,25848,ipDatatel,ipdatatel,Security,1
319,26347,Parts Life,parts-life,Government Services,1
320,25526,IIT,iit,IT Services,1
321,22821,Wingspan Portfolio Advisors,wingspan-portfolio-advisors,Financial Services,2
322,25072,Gold Refinery of San Diego,gold-refinery-of-san-diego,Financial Services,1
323,25974,modulR,modulr,Consumer Products & Services,1
324,26224,E-Push! E-Share!,e-push-e-share,Business Products & Services,1
325,26593,GoPro,gopro,Consumer Products & Services,1
326,21109,Refinery29,refinery29,Media,3
327,21092,Advice Interactive Group,advice-interactive-group,Advertising & Marketing,3
328,24996,Outdoor Tech,outdoor-tech,Consumer Products & Services,1
329,25544,Sev1Tech,sev1tech,IT Services,1
330,25446,eLearning Brothers,elearning-brothers,Education,1
331,24968,TitanLED,titanled,Manufacturing,1
332,23109,Blueline Security Services,blueline-security-services,Security,2
333,23102,Caduceus Healthcare,caduceus-healthcare,Government Services,2
334,23133,HireVue,hirevue,Human Resources,2
335,25168,Smart Energy Today,smart-energy-today,Energy,1
336,23194,North American Dental Group,north-american-dental-group,Health,2
337,26524,Glacier Payments,glacier-payments,Financial Services,1
338,26061,OnSite Care,onsite-care,Health,1
339,23598,Morning Star Financial Services,morning-star-financial-services,Financial Services,2
340,26254,Surefire Social,surefire-social,Advertising & Marketing,1
341,23036,Solomon Consulting Group,solomon-consulting-group,IT Services,2
342,25076,Specialty Coating & Laminating,specialty-coating-laminating,Manufacturing,1
343,26470,Think Tech Labs,think-tech-labs,Software,1
344,25517,Texas Green Giant,texas-green-giant,Environmental Services,1
345,21158,New Wave Surgical,new-wave-surgical,Health,3
346,17538,Mainstreet,mainstreet,Real Estate,4
347,25078,The Participation Agency,the-participation-agency,Advertising & Marketing,1
348,25359,Cumulus Global,cumulus-global,IT Services,1
349,21516,BulbAmerica,bulbamerica,Retail,3
350,23071,FlexWage Solutions,flexwage-solutions,Financial Services,2
351,24820,PureWow,purewow,Media,1
352,26298,Rifle Paper Co.,rifle-paper-co,Consumer Products & Services,1
353,22927,LabTech Software,labtech-software,Software,2
354,24871,GME Supply,gme-supply,Business Products & Services,1
355,25102,Dope,dope,Consumer Products & Services,1
356,25008,LocalSearchForDentists.com,localsearchfordentistscom,Advertising & Marketing,1
357,25602,EmbedTek,embedtek,Computer Hardware,1
358,26086,FlexGround,flexground,Construction,1
359,23158,WebEyeCare,webeyecare,Retail,2
360,25490,TTCG,ttcg,Financial Services,1
361,23053,WebPT,webpt,Software,2
362,25299,StemExpress,stemexpress,Health,1
363,25442,BlissLights,blisslights,Consumer Products & Services,1
364,26124,Simon & Simon,simon-simon,Consumer Products & Services,1
365,25832,Restaurantware,restaurantware,Food & Beverage,1
366,25829,Fuel Medical Group,fuel-medical-group,Health,1
367,23093,Plug Smart,plug-smart,Energy,2
368,24990,Six Spoke Media,six-spoke-media,Advertising & Marketing,1
369,26190,Ameex Technologies,ameex-technologies,IT Services,1
370,25331,The RSR Company,the-rsr-company,Government Services,1
371,21844,Team Trident,team-trident,Energy,3
372,25768,Back to the Roots,back-to-the-roots,Consumer Products & Services,1
373,26045,Gadberry Construction Company,gadberry-construction-company,Construction,1
374,25773,Invision Security Group,invision-security-group,Security,1
375,25349,Invoca,invoca,Software,1
376,24969,Z Prepay,z-prepay,Financial Services,1
377,23147,Re:think (Ramsey NJ),rethink-ramsey-nj,Advertising & Marketing,2
378,26242,Lumber One Services,lumber-one-services,Business Products & Services,1
379,24867,Blue Ridge Product Solutions,blue-ridge-product-solutions,Retail,1
380,26066,WebyShops,webyshops,Retail,1
381,25455,Dom & Tom,dom-tom,IT Services,1
382,25321,Flat World Supply Chain,flat-world-supply-chain,Logistics & Transportation,1
383,25028,Overstocks Trading,overstocks-trading,Business Products & Services,1
384,23389,Reliant Services Group,reliant-services-group,Financial Services,2
385,25075,PK4 Media,pk4-media,Advertising & Marketing,1
386,26078,Escapada,escapada,Consumer Products & Services,1
387,24931,ToCharge,tocharge,Financial Services,1
388,24829,New Tradition Media,new-tradition-media,Advertising & Marketing,1
389,23049,Titan Electric Company,titan-electric-company,Construction,2
390,22906,Level 11,level-11,IT Services,2
391,21578,JayBird,jaybird,Consumer Products & Services,3
392,24828,Four Seasons Home Services,four-seasons-home-services,Construction,1
393,23068,Babyhaven.com,babyhavencom,Retail,2
394,23166,Trend Nation,trend-nation,Retail,2
395,23199,StandBy Talent Staffing Services,standby-talent-staffing-services,Human Resources,2
396,25434,Startex Industries,startex-industries,Business Products & Services,1
397,25812,Progressive Dental Marketing,progressive-dental-marketing,Advertising & Marketing,1
398,25214,Orangetheory Fitness,orangetheory-fitness,Consumer Products & Services,1
399,25769,DG3 Media Group,dg3-media-group,Advertising & Marketing,1
400,26187,National Tax Credit,national-tax-credit,Financial Services,1
401,21462,The Force Realty,the-force-realty,Real Estate,3
402,24977,Ruby Makeup Academy,ruby-makeup-academy,Education,1
403,24850,Caliber Companies,caliber-companies,Real Estate,1
404,25685,Patientco,patientco,Health,1
405,25183,Clicks and Clients,clicks-and-clients,Advertising & Marketing,1
406,21079,Rapier Solutions,rapier-solutions,IT Services,3
407,25990,Peak Capital Partners,peak-capital-partners,Real Estate,1
408,25142,Imagine Staffing Technology,imagine-staffing-technology,Human Resources,1
409,21338,Construct Solutions,construct-solutions,Construction,3
410,23097,Knight Solutions,knight-solutions,Government Services,2
411,22993,Monster Flooring SALE,monster-flooring-sale,Retail,2
412,22956,Spoken Communications,spoken-communications,Telecommunications,2
413,26613,AKTA,akta,Business Products & Services,1
414,25017,Car Wash Technologies,car-wash-technologies,Business Products & Services,1
415,26032,Biomedical Research Laboratories,biomedical-research-laboratories,Food & Beverage,1
416,25668,SearchMarketers.com,searchmarketerscom,Advertising & Marketing,1
417,25581,Radius (Kirkland WA),radius-kirkland-wa,IT Services,1
418,25358,New Venture Escrow,new-venture-escrow,Real Estate,1
419,26418,Transactis,transactis,Business Products & Services,1
420,26585,NLFC Holdings,nlfc-holdings,Financial Services,1
421,26210,Response Team 1,response-team-1,Construction,1
422,26343,Bowlmor AMF,bowlmor-amf,Food & Beverage,1
423,25543,TK Media Direct,tk-media-direct,Advertising & Marketing,1
424,25117,Latin Markets,latin-markets,Financial Services,1
425,24899,ServerHub,serverhub,IT Services,1
426,24859,Gossett Jones Homes,gossett-jones-homes,Construction,1
427,25480,myThings,mythings,Advertising & Marketing,1
428,25754,Revant,revant,Consumer Products & Services,1
429,26049,Convene (Tampa FL),convene-tampa-fl,IT Services,1
430,21230,ShayCore Enterprises,shaycore-enterprises,Construction,3
431,25124,Fluent (New York NY),fluent-new-york-ny,Advertising & Marketing,1
432,22873,ApTask,aptask,IT Services,2
433,24879,Cloud for Good,cloud-for-good,IT Services,1
434,23406,Ascendo Resources,ascendo-resources,Human Resources,2
435,26001,Perseus Telecom,perseus-telecom,Telecommunications,1
436,24878,TexPro Painters,texpro-painters,Construction,1
437,23286,Fluent (Boston MA),fluent-boston-ma,Advertising & Marketing,2
438,25154,ToiletTree Products,toilettree-products,Consumer Products & Services,1
439,17708,Swiftpage,swiftpage,Software,2
440,25821,RIPT Apparel,ript-apparel,Retail,1
441,24939,Framework Communications,framework-communications,IT Services,1
442,23156,EHD Technologies,ehd-technologies,Business Products & Services,2
443,17392,I.T. Source,it-source,IT Services,5
444,22922,Field Nation,field-nation,Business Products & Services,2
445,22957,Sol Systems,sol-systems,Energy,2
446,23037,TheraPearl,therapearl,Consumer Products & Services,2
447,25794,Rocktape,rocktape,Health,1
448,20997,OBXtek,obxtek,Government Services,3
449,23179,In-Flight Crew Connections,in-flight-crew-connections,Travel & Hospitality,2
450,25936,Servlinx,servlinx,IT Services,1
451,21707,E Revolution Ventures,e-revolution-ventures,Retail,3
452,25923,The Doctor's Choice,the-doctors-choice,Health,1
453,21308,WillowTree Apps,willowtree-apps,Software,3
454,25167,Tru Medical Solutions,tru-medical-solutions,Health,1
455,25469,T1Visions,t1visions,Software,1
456,26026,Fathom Realty,fathom-realty,Real Estate,1
457,22989,Cloud Sherpas,cloud-sherpas,IT Services,2
458,26356,Kanda Software,kanda-software,Software,1
459,21233,Content Marketing Institute,content-marketing-institute,Media,3
460,24025,Tillman Companies,tillman-companies,Construction,2
461,25071,Prosper Insurance Group,prosper-insurance-group,Insurance,1
462,21229,Impact Makers,impact-makers,IT Services,3
463,24937,Votto Vines Importing,votto-vines-importing,Food & Beverage,1
464,26144,Coupa Software,coupa-software,Software,1
465,22986,All Around,all-around,Construction,2
466,24865,Mashburn Outdoor,mashburn-outdoor,Advertising & Marketing,1
467,26133,Tracker Corp,tracker-corp,Software,1
468,25836,Themesoft,themesoft,IT Services,1
469,24872,Halvik,halvik,IT Services,1
470,22910,OneSource Virtual,onesource-virtual,Business Products & Services,2
471,25121,Marie Forleo International,marie-forleo-international,Education,1
472,25435,EPtronics,eptronics,Manufacturing,1
473,26293,American Addiction Centers,american-addiction-centers,Health,1
474,26002,Solid Commerce,solid-commerce,Software,1
475,25721,North American Power,north-american-power,Energy,1
476,19303,Build Group,build-group,Construction,3
477,23407,Hipercept,hipercept,Real Estate,2
478,26276,SeaSnax,seasnax,Food & Beverage,1
479,25491,Nimbo,nimbo,IT Services,1
480,25470,Staff America,staff-america,IT Services,1
481,23145,Netsertive,netsertive,Advertising & Marketing,2
482,24717,Premier Logic,premier-logic,Software,1
483,25361,Energy Optimizers USA,energy-optimizers-usa,Energy,1
484,25511,InterRail,interrail,Travel & Hospitality,1
485,25292,Dealer Spike,dealer-spike,Advertising & Marketing,1
486,25844,Maven Recruiting Group,maven-recruiting-group,Human Resources,1
487,23115,Barbaricum,barbaricum,Government Services,2
488,26462,CATMEDIA,catmedia,Government Services,1
489,25557,STONE Resource Group,stone-resource-group,IT Services,1
490,24980,JEAR Logistics,jear-logistics,Logistics & Transportation,1
491,26370,Evolve Digital Labs,evolve-digital-labs,Advertising & Marketing,1
492,26515,Red Rock Business Advisors,red-rock-business-advisors,Government Services,1
493,25140,Bodhtree Solutions,bodhtree-solutions,IT Services,1
494,25881,Cerebral Group,cerebral-group,Government Services,1
